,school_name,state_name_latest_available_year,school_id_nces_assigned_latest_available_year,county_name,mailing_address_3,location_zip,magnet_school,shared_time_school,urban_centric_locale,school_wide_title_i,state_agency_id,state_school_id
691,CLARKSVILLE MIDDLE,Maryland,240042000725,Howard County,†,21029,2-No,2-No,13-City: Small,†,MD-13,MD-13-130521
692,CLAUDE THOMPSON ELEM,Virginia,510132000610,Fauquier County,†,20115,2-No,2-No,42-Rural: Distant,2-No,VA-030,VA-030-0300120
693,CLAYS MILL ELEM,Virginia,510177000710,Halifax County,†,24589,2-No,2-No,42-Rural: Distant,1-Yes,VA-041,VA-041-0411560
694,CLEAR SPRING ELEMENTARY,Maryland,240066001259,Washington County,†,21722,2-No,2-No,41-Rural: Fringe,†,MD-21,MD-21-210402
695,CLEAR SPRING HIGH,Maryland,240066001260,Washington County,†,21722,2-No,2-No,41-Rural: Fringe,†,MD-21,MD-21-210403
696,CLEAR SPRING MIDDLE,Maryland,240066001261,Washington County,†,21722,2-No,2-No,41-Rural: Fringe,†,MD-21,MD-21-210401
697,CLEARBROOK ELEM,Virginia,510333001449,Roanoke County,†,24014,2-No,2-No,41-Rural: Fringe,†,VA-080,VA-080-0800330
698,CLEARSPRING ELEMENTARY,Maryland,240048001514,Montgomery County,†,20872,1-Yes,2-No,21-Suburb: Large,†,MD-15,MD-15-150706
699,CLEARVIEW EARLY CHILDHOOD CTR.,Virginia,510240002618,Martinsville city,†,24112,2-No,2-No,32-Town: Distant,†,VA-116,VA-116-1160224
700,CLEARVIEW ELEM,Virginia,510126001836,Fairfax County,†,20170,2-No,2-No,21-Suburb: Large,1-Yes,VA-029,VA-029-0290260
701,CLEMENS CROSSING ELEMENTARY,Maryland,240042001382,Howard County,†,21044,2-No,2-No,13-City: Small,†,MD-13,MD-13-130520
702,CLERMONT ELEM,Virginia,510126000450,Fairfax County,†,22310,2-No,2-No,21-Suburb: Large,†,VA-029,VA-029-0291870
703,CLEVELAND ES,District of Columbia,110003000103,District of Columbia,†,20001,†,–,11-City: Large,–,DC-001,DC-001-224
704,CLIFTON MIDDLE,Virginia,510015201888,Alleghany County,†,24426,2-No,2-No,41-Rural: Fringe,†,VA-003,VA-003-0031040
705,CLINTON GROVE ELEMENTARY,Maryland,240051001010,Prince George's County,†,20735,2-No,2-No,21-Suburb: Large,1-Yes,MD-16,MD-16-160906
706,CLINTWOOD ELEM,Virginia,510114000401,Dickenson County,†,24228,2-No,2-No,43-Rural: Remote,1-Yes,VA-026,VA-026-0260020
707,CLOPPER MILL ELEMENTARY,Maryland,240048001494,Montgomery County,†,20874,2-No,2-No,21-Suburb: Large,1-Yes,MD-15,MD-15-150100
708,CLOVER HILL ELEM,Virginia,510084002055,Chesterfield County,†,23112,2-No,2-No,21-Suburb: Large,†,VA-021,VA-021-0210150
709,CLOVER HILL HIGH,Virginia,510084000324,Chesterfield County,†,23112,2-No,2-No,21-Suburb: Large,†,VA-021,VA-021-0210740
710,CLOVERDALE ELEM,Virginia,510042000168,Botetourt County,†,24077,2-No,2-No,22-Suburb: Mid-size,†,VA-012,VA-012-0120390
711,CLOVERLY ELEMENTARY,Maryland,240048001524,Montgomery County,†,20905,2-No,2-No,21-Suburb: Large,†,MD-15,MD-15-150308
712,CLUSTER SPRINGS ELEM,Virginia,510177002745,Halifax County,†,24520,2-No,2-No,42-Rural: Distant,1-Yes,VA-041,VA-041-0410020
713,COATES ELEM,Virginia,510126002800,Fairfax County,†,20171,2-No,2-No,21-Suburb: Large,†,VA-029,VA-029-0292347
714,COCKEYSVILLE MIDDLE,Maryland,240012000366,Baltimore County,†,21030,2-No,2-No,21-Suburb: Large,†,MD-03,MD-03-030853
715,CODE RVA REGIONAL HIGH,VIRGINIA,510025603031,Richmond city,†,23220,2-No,2-No,12-City: Mid-size,†,VA-432,VA-432-4320011
716,COEBURN MIDDLE,Virginia,510408001787,Wise County,†,24230,2-No,2-No,32-Town: Distant,†,VA-096,VA-096-0960651
717,COEBURN PRIMARY,Virginia,510408001788,Wise County,†,24230,2-No,2-No,32-Town: Distant,1-Yes,VA-096,VA-096-0960653
718,COL. E. BROOKE LEE MIDDLE,Maryland,240048000806,Montgomery County,†,20902,2-No,2-No,21-Suburb: Large,1-Yes,MD-15,MD-15-150818
719,COL. ZADOK MAGRUDER HIGH,Maryland,240048000808,Montgomery County,†,20855,2-No,2-No,41-Rural: Fringe,†,MD-15,MD-15-150510
720,COLD HARBOR ELEM,Virginia,510183001995,Hanover County,†,23111,2-No,2-No,21-Suburb: Large,†,VA-042,VA-042-0420070
721,COLD SPRING ELEMENTARY,Maryland,240048000809,Montgomery County,†,20854,1-Yes,2-No,21-Suburb: Large,†,MD-15,MD-15-150238
722,COLEMAN PLACE ELEM,Virginia,510267001089,Norfolk city,†,23513,2-No,2-No,12-City: Mid-size,1-Yes,VA-118,VA-118-1180550
723,COLES ELEM,Virginia,510313001290,Prince William County,†,20112,2-No,2-No,41-Rural: Fringe,†,VA-075,VA-075-0750660
724,COLGATE ELEMENTARY,Maryland,240012000367,Baltimore County,†,21224,2-No,2-No,21-Suburb: Large,1-Yes,MD-03,MD-03-031503
725,COLLEGE GARDENS ELEMENTARY,Maryland,240048000810,Montgomery County,†,20850,2-No,2-No,13-City: Small,†,MD-15,MD-15-150229
726,COLLEGE PARK ACADEMY,Maryland,240051001718,Prince George's County,†,20737,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-162142
727,COLLEGE PARK ELEM,Virginia,510384001680,Virginia Beach city,†,23464,2-No,2-No,11-City: Large,1-Yes,VA-128,VA-128-1280720
728,COLLINGTON SQUARE ELEMENTARY/MIDDLE,Maryland,240009000179,Baltimore city,†,21213,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300097
729,COLONEL FRED CHERRY MIDDLE SCHOOL,VIRGINIA,510371003058,Suffolk city,†,23434,2-No,2-No,21-Suburb: Large,†,VA-127,VA-127-1270397
730,COLONEL RICHARDSON HIGH SCHOOL,Maryland,240018000518,Caroline County,†,21632,2-No,2-No,42-Rural: Distant,1-Yes,MD-05,MD-05-050801
731,COLONEL RICHARDSON MIDDLE SCHOOL,Maryland,240018000519,Caroline County,†,21632,2-No,2-No,42-Rural: Distant,1-Yes,MD-05,MD-05-050802
732,COLONIAL BEACH ELEM,Virginia,510093001956,Westmoreland County,†,22443,2-No,2-No,32-Town: Distant,2-No,VA-202,VA-202-2020022
733,COLONIAL BEACH HIGH,Virginia,510093001957,Westmoreland County,†,22443,2-No,2-No,32-Town: Distant,†,VA-202,VA-202-2020021
734,COLONIAL ELEM,Virginia,510042000169,Botetourt County,†,24064,2-No,2-No,41-Rural: Fringe,†,VA-012,VA-012-0120400
735,COLONIAL FORGE HIGH,Virginia,510366001923,Stafford County,†,22554,2-No,2-No,41-Rural: Fringe,†,VA-089,VA-089-0890424
736,COLONIAL HEIGHTS HIGH,Virginia,510096000361,Colonial Heights city,†,23834,2-No,2-No,21-Suburb: Large,†,VA-106,VA-106-1060040
737,COLONIAL HEIGHTS MIDDLE,Virginia,510096000362,Colonial Heights city,†,23834,2-No,2-No,21-Suburb: Large,2-No,VA-106,VA-106-1060020
738,COLONIAL HEIGHTS TECH CTR,Virginia,510096002941,Colonial Heights city,†,23834,2-No,1-Yes,21-Suburb: Large,†,VA-106,VA-106-1060161
739,COLONIAL TRAIL ELEM,Virginia,510189002756,Henrico County,†,23059,2-No,2-No,21-Suburb: Large,†,VA-043,VA-043-0430093
740,COLUMBIA ELEM,Virginia,510126000452,Fairfax County,†,22003,2-No,2-No,21-Suburb: Large,†,VA-029,VA-029-0291510
741,COLUMBIA HEIGHTS EDUCATION CAMPUS,District of Columbia,110003000396,District of Columbia,†,20010,†,–,11-City: Large,–,DC-001,DC-001-442
742,COLUMBIA PARK ELEMENTARY,Maryland,240051001012,Prince George's County,†,20785,2-No,2-No,21-Suburb: Large,1-Yes,MD-16,MD-16-161302
743,COLVIN RUN ELEM,Virginia,510126002333,Fairfax County,†,22182,2-No,2-No,21-Suburb: Large,†,VA-029,VA-029-0292234
744,COMMODORE JOHN ROGERS ELEMENTARY/MIDDLE,Maryland,240009000180,Baltimore city,†,21231,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300027
745,COMMONWEALTH GOV .SCH.,Virginia,510003501936,Spotsylvania County,†,22407,1-Yes,1-Yes,41-Rural: Fringe,†,VA-270,VA-270-2700010
